100,13.3417,13,13.0384,14.3178,13.6015,16.4012,14.3178,14.8661,13.0384,14.1421,12.1655,11.6619,16.0312,13.9284,14.1421,15.2971,15.1327,13.9284,12.1655,14.5602,15.2971,16.1555,16.2788,14.3178,14.3178,15.2971,12.0416,17.1172,13,9.89949,12.6491,14.3178,14.8661,12.1655,14.3178,14.2127,16.1245,13.8924,14.3178,12.3693,12.1655,15.6525,17.0294,13.8924,14.0357,16.2788,15.1327,13,15.2971,17.0294,15.2315,16,13.4164,13.9284,16.2788,11.7047,13.0384,13.1529,15.2315,15.2971,18.0278,15.1327,17.4642,14.0357,20.025,15.0333,16.1245,11.6619,13,15.2971,12.1655,19.0263,12.0416,16.7631,15.0333,13.6015,14.3178,16.6433,13.4536,13.6015,15.6525,18.2483,13.1529,11.1803,11.1803,16.5529,17.2627,12.8062,11.1803,13.8924,18.0278,13.0384,16.1555,16.4924,17.2627,13.0384,18,13.4164,19.2354,13.3417
200,19.105,22.0227,19.2094,21.095,20.8806,22.4722,18.6011,22.1359,23.0868,22.0227,18.0278,17.4642,24.0832,18.1108,21.2132,24.3516,19.6469,21.5407,20.8087,20.2237,27.074,23.0868,21.9317,22.0907,24.0832,24.5153,20.6155,22.1359,21.0238,17.4929,19.2354,21.9317,22.8473,19.0263,22.8254,18.868,20.3961,19.2094,18.1108,21.2603,21.2132,24.6982,25.2982,21.6333,23.3452,21.587,21.8403,22.561,22.0227,21.0238,23.0217,23.3452,21.095,21.1896,24.0208,18.7883,18.0278,20.8806,24.5153,21.1896,24.0416,21.3776,25.9422,21.4009,25.02,22.561,25.02,21.8403,19.2354,26.0768,18.6011,23.0217,21.9545,22.1359,23.0217,18.6011,18.6815,24.1661,22.2036,19.799,21.9317,25.1794,19.2094,22.0227,23.3238,24.0416,23.7697,21.0238,20.3961,19.6469,30.0167,22.561,26.9258,27.2947,23.1948,21.0238,25.318,17.0294,23.7697,22.2036
300,26.9258,29.0172,25,28.178,25.2982,28.178,24.3516,26.1725,27.2947,28.0713,25.2982,23.8537,28.0179,22.8473,27.2029,28.4605,23.3238,25.7099,28.0179,27.6586,32.1403,26.4764,25.02,25.02,27,28.2843,26.1725,30.1496,24.6982,25.4951,25.02,26.5707,26.8328,23.0217,30.4631,26.0192,24.5153,24.0416,25.632,25.5539,26.2488,26.9258,31.6228,26.3059,31.9531,27.5136,24.6982,29.1204,28.0713,27.5136,26.9258,27.7308,26.1725,30.8058,25,25.2982,25.02,31.3209,32.7567,29.1204,31.7648,26.6833,31.4006,26.2488,30.5941,27.8927,27.074,31.257,24.0832,33.0606,24.0832,28.0713,28.4253,30.3645,26.0192,24.1661,23.5372,26.9258,28.0713,24.0832,26.9258,31.4006,28.178,27,29.0689,28.8617,29.1204,25.318,25.1794,26.0192,35.5106,32.0156,31.6228,31.0644,26.0192,24.0208,30.4138,22.6716,29.6142,28.2843
400,30.6757,35.0571,28.1603,32.2025,28.3019,33.121,29.7321,32.28,28.6356,29.2746,31.5753,29.2062,31.0644,27.2029,31.8277,31.305,27.5136,30.4138,31.6228,31.0161,33.2415,32.249,29.0689,28.6356,30,33.2415,28.2843,35.2278,30.4631,31.3847,28.1603,29.1204,34.4384,28.6356,33.1059,33.1361,30.0666,28,27.8568,28.4429,32.249,31.8904,38.3275,31.1448,33.8378,32.5576,32.1403,34.5254,33.541,30.3645,30.3645,32.0156,30.4795,38.0789,28.1603,27.5136,29.1548,39.5601,36.4005,34.7851,35.3553,29.0689,35.4683,32.2025,34.5254,30.8058,37.0135,38.0526,30.6105,36.2215,25.807,31.1448,30.5287,38.3275,30.1496,28.6356,29.1204,31.0483,31.4006,29.0689,31.7805,39.0512,34.2053,30.2655,30.5287,33.1361,33.3766,29.2746,28.0179,32.0156,41.1947,39.0512,38.6005,34.0147,35,30.2655,34.3657,26.2488,31.305,32.0624
500,35.4683,39.2046,32.3883,38.4838,33.3766,39.4462,34.4819,36.1386,34.0588,34.0588,37.4833,32.0156,35.5106,31.257,34.8281,34.1321,31.0161,35.609,34.9857,32.28,37.108,34.5254,35.2278,32.9848,36.1248,38.0789,30.6105,39.4588,32.9848,36.6742,31.257,39.2938,38.4838,33.8378,33.7343,34.0147,34.5254,34.2053,31.241,37.4433,35.5106,36.1248,44.7214,35.3553,36.6879,37.6563,37.2156,36.6742,39.1152,34.5254,36.6879,35.8469,34.2053,42.0595,31.3847,35.4683,31.4006,41.4849,39.3192,41.2311,39.8246,31.257,39.8246,37.4833,40.0125,37.855,43.0116,43.1045,34.2053,40.3113,33.0151,33.8378,37,42.72,32.5576,32.6956,32.9848,32.7567,34.3657,38.3275,37.1214,44.7214,39.2173,35.6931,34.7131,39.8121,37.3363,34.3657,32.249,40,49.163,43,45.4863,36.0555,39.0128,35.2278,36.4005,31.4006,36.0555,37.1618
600,38.0789,41.1096,35.0571,42.1545,40.3113,45.6508,39.4462,41.4849,40.1123,37.2156,46.3897,35.609,37.855,34.2345,42.0476,38.6264,34.7851,38.8973,39.2173,37.054,41.4849,39.0128,40.4969,36.6879,40.6079,40.2616,35,46.3897,37.1214,39,35.6931,42.45,43.8292,38.4838,40.025,38.3275,40.7922,39.0512,35.7351,44.0454,37.3363,40.8044,50.4876,40.1123,40.4969,41.4367,41.7732,40.6079,41.7732,38.833,39.8497,39.5601,40.6079,44.7772,38.0526,37,35.8469,45.1221,41.7732,45.607,43.3244,36.4966,41.2311,39.6989,45.0444,43.566,48.0937,51.1566,38.2753,41.3038,35.3553,38.1182,40.5216,46.5725,36.4966,35.4683,36.2215,37,39.0512,44.2719,40.2492,49.366,43.0116,41.2311,41,43.7379,40.3113,37.0135,37,44.1814,55.1453,47.0425,48.6004,40.5216,41,38.1182,41.0488,34.8281,42.0119,38.9102
700,41.4005,43.6807,38.3275,43.566,42.7551,47.8539,42.72,43.9659,43.4166,42.4264,50.1597,41.2311,39.4588,36.2353,47,40.8534,38.8973,40.4969,42.3792,41.1096,44.643,42.19,43.566,41.2311,43.7379,44.1814,39.9625,50.636,40.3113,44.3847,39.8246,46.3249,45.618,44.3847,41.9762,40.3113,42.9535,41.5933,41.2311,47.2017,41.1096,42.19,57.5587,44.1022,42.638,45.7056,41.7732,45.7056,49.2443,45.7056,41.7852,42.0595,43.909,48.3011,41.1096,41.1825,40.05,50.9902,44.0454,47.1699,47.7598,39.0512,46.2277,41.7732,48.2597,44.7214,53.0377,53.0848,42.19,46.0435,39.8121,40.4599,41.6293,48.3839,38.4708,42.0595,41.3038,43.0116,41,50.6952,45.618,53.7587,49.4773,47.0744,46.1411,46.6905,45.0111,39.1152,47.8017,48.0104,57.2189,51.0392,51.8652,43.1045,43.0116,41.1947,44.0114,38.833,46.0977,40.7063
800,45.0444,47.5395,41.4849,46.0435,49.8197,51.4296,44.9222,47.4342,44.5533,44.5533,55.0818,43.8634,41.5933,40.05,52,46.4866,42.72,43.566,44.2719,42.5793,45.8803,46.2709,47.2017,43.8406,47.8539,51.1957,42.4853,55.2268,41.8688,47.5395,44.0454,48.8365,47.8853,47.5395,47.5395,44.5533,45.3542,46.5725,42.9535,50.4777,44.5533,44.8219,61.6604,47.0956,45.607,49.2443,46.1736,49.366,52.7731,47.8539,46.5725,42.72,46.8722,50.5371,45.1774,43.8292,43.2897,56.4358,45.0111,49.2443,53.0377,41.7732,52.2015,45.6508,51.2445,49.0408,55,56.5155,46.6476,49.0408,43.0116,43.9318,46.4866,51.264,43.2666,44.9222,43.2897,47.0106,42,55.3173,46.5188,61,53.6004,50.9902,47.7074,51.6236,47.5184,44.4072,51.5461,52.1536,66.2722,52.2398,54.5619,49.2443,46.0977,44.643,48.0104,39.6611,50.3587,44.4185
900,48.1664,51.6236,42.45,49.163,51.6624,56.0803,50,52.2015,50.2494,49.366,57.0088,50.9313,42.7551,43.0465,55.0818,48.3839,49.4773,45.4863,44.5982,47.1699,49.0306,48.5077,51.8556,47.4236,50.2195,51.1957,44.7772,56.3205,44.5533,49.2443,46.0109,52.7731,50.4777,48.4665,50.636,47.0956,48.7647,49.0306,44.1814,53.6004,47.0744,45.6946,64.4981,50.1597,48.4149,55.3173,49.0102,50.8035,60.531,52.1728,53.1507,47.1699,50.9902,52.3259,49.0102,46.0652,47.0956,57.4282,47.4342,51.6236,57.3149,44.643,58,50.6952,60.075,51.5461,58,61.4003,49.4065,53.0377,46.0977,47.4236,49.6488,55.0273,46.6476,47.8017,45.0999,50.1597,44.5533,56.2939,54.231,64.7765,58.2495,53.1507,51.614,54.4518,48.5077,47.5184,54.1202,59.0339,68.884,55.3263,57.7754,52.1728,51.0882,47.1275,50.04,41.7732,53.4135,47.4342
1000,51.8652,54.7814,44.7772,50.2494,55.7315,58.1893,52.2015,54.4059,51.2445,52.469,62.0322,56.0803,47.2969,46.1736,57.1402,51.8652,50.448,48.8262,51.6624,49.366,51.2445,50.9902,53.0377,49.93,54.5711,54.7449,46.9574,57.3149,46.8615,50.9902,50.9902,58.2495,51.614,49.6488,52.811,47.0956,55.5788,52.3927,50.8035,56.2228,47.5395,49.4975,65.4905,58.1378,50.6952,58.2495,52.0384,51.788,65.4905,55.109,56.0892,49.0408,52.7731,56.7979,50.3587,50.9902,48.6004,59.4138,54.1479,52.7731,58.7282,48.0104,60.1082,52.3927,62.0725,56.3028,61.0082,65.8027,51.0392,55.0091,50.01,50.04,53.7587,58.5235,48.5489,49.7293,50.01,52.0096,50.2096,57.4891,57.0088,66.7533,62.5859,58.2495,53.0094,57.4282,51.225,50.4876,55.7853,61.6604,73.8241,57.5587,60.4152,55.5428,55.0364,51.2445,52.0384,44.0454,56.5685,50.5668
